term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,source
year::2016:exposure_1718,0.04273229301646462,0.018188420391799905,2.3494229897902574,0.01886639828434857,0.007069398299556003,0.07839518773337323,2016,other_own_source
year::2018:exposure_1718,0.020222736764713097,0.016914293330261274,1.195600452815413,0.23194607493490232,-0.012941916858532312,0.053387390387958505,2018,other_own_source
year::2019:exposure_1718,-0.04718917943176876,0.019412543309726242,-2.4308602267548127,0.015120670622922976,-0.08525226975677118,-0.009126089106766336,2019,other_own_source
year::2020:exposure_1718,-0.05155360981920261,0.0210273626185978,-2.4517392292272384,0.014272834411856778,-0.09278295261465491,-0.010324267023750305,2020,other_own_source
year::2021:exposure_1718,-0.012002209327087274,0.021316462756018176,-0.5630488258986002,0.5734432960905771,-0.053798404413248395,0.029793985759073847,2021,other_own_source
year::2022:exposure_1718,-0.05196157020141722,0.022420521719930187,-2.3175896997627503,0.02053793898880173,-0.09592254583163287,-0.008000594571201565,2022,other_own_source
year::2012:exposure_1718,-5.89746824535135e-4,0.005496036471182419,-0.10730402311327034,0.9145549040976864,-0.011366089323638428,0.010186595674568158,2012,property_tax_rev
year::2013:exposure_1718,-0.0030362968977601765,0.005010463757433157,-0.6059911905870488,0.5445660398244978,-0.01286055367126505,0.006787959875744699,2013,property_tax_rev
year::2014:exposure_1718,0.0027758071336117752,0.004890719824114204,0.5675661729640223,0.5703716724574973,-0.006813661962554924,0.012365276229778475,2014,property_tax_rev
year::2015:exposure_1718,0.005871584054600524,0.004509037758901272,1.3021811678133444,0.19295353487139874,-0.002969502696931783,0.014712670806132831,2015,property_tax_rev
year::2016:exposure_1718,9.846345973855133e-4,0.004802812011103968,0.20501210438990022,0.8375764521698703,-0.008432469430552002,0.01040173862532303,2016,property_tax_rev
year::2018:exposure_1718,-0.009363101435170995,0.0043868614353707825,-2.134350850400091,0.03289419698342539,-0.01796463120513135,-7.615716652106391e-4,2018,property_tax_rev
year::2019:exposure_1718,-0.007188470488035721,0.005241322766255038,-1.3714992967647237,0.1703210146399955,-0.017465383600542814,0.0030884426244713716,2019,property_tax_rev
year::2020:exposure_1718,-0.011781500023186814,0.00537212481862097,-2.1930800979064253,0.028377435999183832,-0.022314882997797582,-0.001248117048576046,2020,property_tax_rev
year::2021:exposure_1718,-0.009357345824290854,0.00588411808079456,-1.5902715913932317,0.11187802523394975,-0.02089461856188727,0.002179926913305562,2021,property_tax_rev
year::2022:exposure_1718,-0.005373047173761169,0.006829150365906487,-0.7867812078915855,0.431471548256789,-0.018763290070939763,0.008017195723417424,2022,property_tax_rev
year::2012:exposure_1718,0.02638494995428143,0.01851699868816958,1.4249042406174952,0.15428787426474264,-0.009922203743741122,0.06269210365230399,2012,state_ig_rev
year::2013:exposure_1718,0.003109146836081232,0.016086763193473,0.19327361251533368,0.8467576449604101,-0.028432929372104294,0.03465122304426676,2013,state_ig_rev
year::2014:exposure_1718,-0.004757469182721991,0.015063639293998825,-0.3158246881692998,0.752157329923937,-0.03429345804943884,0.024778519683994863,2014,state_ig_rev
year::2015:exposure_1718,0.009511721964837811,0.014611460352403937,0.6509768178834296,0.5151108140649359,-0.019137658299266582,0.0381611022289422,2015,state_ig_rev
year::2016:exposure_1718,-0.025010011585312433,0.01478528359348842,-1.6915476410832648,0.09083508727004355,-0.05400021528612068,0.003980192115495815,2016,state_ig_rev
year::2018:exposure_1718,-0.03912473057953174,0.01362809704213544,-2.8708872895875075,0.004121609413557688,-0.06584598396691257,-0.012403477192150899,2018,state_ig_rev
year::2019:exposure_1718,-0.05157581706169711,0.015873792060934245,-3.2491175935601637,0.0011702851365277193,-0.08270031071384634,-0.020451323409547875,2019,state_ig_rev
year::2020:exposure_1718,-0.03323795816980525,0.018899580516134978,-1.758661158718803,0.0787360134237678,-0.0702952581233808,0.0038193417837702956,2020,state_ig_rev
year::2021:exposure_1718,0.01358503622326341,0.023047610168028955,0.5894336169442946,0.5556143762565597,-0.03160550133816968,0.0587755737846965,2021,state_ig_rev
year::2022:exposure_1718,-0.06643955327797985,0.02092704963519075,-3.1748170160716613,0.0015143481405816897,-0.10747220767010068,-0.02540689888585901,2022,state_ig_rev
